#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
82541                -          input_alignment      -           7.3e-130  434.6  45.2   5.8e-51  173.5  11.8   4.2   1   1   3   4   4   4   4 -
8587                 -          input_alignment      -           1.2e-129  433.9  16.5   2.2e-70  237.8   0.0   4.3   2   1   2   4   4   4   4 -
7490                 -          input_alignment      -           1.1e-125  420.8  22.2   4.9e-74  249.8  14.8   2.0   1   1   1   2   2   2   2 -
3852                 -          input_alignment      -           1.5e-125  420.4   0.1  1.6e-125  420.2   0.1   1.0   1   0   0   1   1   1   1 -
14686                -          input_alignment      -           4.1e-125  418.9   1.3     1e-85  288.5   0.0   3.0   2   1   1   3   3   3   3 -
83150                -          input_alignment      -           1.7e-120  403.7   2.0   2.3e-83  280.7   0.0   3.0   2   1   1   3   3   3   3 -
56                   -          input_alignment      -           8.8e-120  401.3  20.4   1.1e-65  222.2   0.0   3.1   2   1   1   3   3   3   3 -
16327                -          input_alignment      -           6.1e-119  398.5  53.5   6.3e-38  130.3  10.7   4.4   2   1   2   4   4   4   4 -
15260                -          input_alignment      -           5.7e-118  395.3  35.0   1.8e-96  324.1  26.1   2.0   1   1   1   2   2   2   2 -
57                   -          input_alignment      -           2.8e-117  393.0  20.2   9.9e-68  229.0   0.0   3.1   2   1   1   3   3   3   3 -
2774                 -          input_alignment      -           1.1e-115  387.8   1.5  1.4e-115  387.4   1.5   1.1   1   0   0   1   1   1   1 -
1631                 -          input_alignment      -           3.4e-115  386.1  40.9  3.8e-115  385.9  40.9   1.0   1   0   0   1   1   1   1 -
10881                -          input_alignment      -           3.7e-115  386.0   1.1  2.1e-105  353.6   0.0   2.1   1   1   1   2   2   2   2 -
17271                -          input_alignment      -           4.4e-115  385.7  18.4   6.8e-69  232.8   0.0   2.8   2   1   1   3   3   3   3 -
83251                -          input_alignment      -           4.3e-112  375.8  36.0   4.8e-42  143.9   6.7   4.5   2   1   1   4   4   4   4 -
83210                -          input_alignment      -           4.7e-112  375.7  24.1   1.9e-35  122.1  14.6   4.4   3   1   1   4   4   4   4 -
3720                 -          input_alignment      -           1.4e-111  374.1  33.2   2.1e-60  204.7   1.9   3.3   1   1   1   2   2   2   2 -
11987                -          input_alignment      -           3.7e-111  372.7   2.4   1.6e-73  248.1   0.0   2.0   2   0   0   2   2   2   2 -
83611                -          input_alignment      -           3.5e-110  369.5  21.9   5.6e-81  272.8   0.0   4.4   1   1   1   3   3   3   2 -
5096                 -          input_alignment      -           3.8e-110  369.4   0.0    5e-102  342.5   0.0   2.1   1   1   1   2   2   2   2 -
7693                 -          input_alignment      -           3.1e-109  366.4  15.0   1.4e-65  221.8   0.0   4.1   2   1   1   4   4   3   3 -
14195                -          input_alignment      -           5.1e-109  365.7   2.6  5.5e-109  365.5   2.6   1.0   1   0   0   1   1   1   1 -
6503                 -          input_alignment      -           6.6e-109  365.3  18.7   8.4e-63  212.7   0.0   4.3   2   1   2   4   4   4   4 -
13892                -          input_alignment      -           1.3e-108  364.3   0.0   1.4e-55  188.7   0.0   3.0   2   1   0   2   2   2   2 -
3551                 -          input_alignment      -           1.7e-108  363.9  18.9   4.5e-65  220.2   0.0   3.1   2   1   1   3   3   3   3 -
11988                -          input_alignment      -           3.4e-108  362.9   3.3   3.2e-73  247.1   0.0   2.6   2   1   0   2   2   2   2 -
82282                -          input_alignment      -           4.4e-108  362.5   0.1  1.9e-107  360.4   0.1   1.8   1   1   0   1   1   1   1 -
15643                -          input_alignment      -           6.7e-108  361.9   7.3    9e-107  358.2   5.5   2.4   1   1   1   2   2   2   1 -
13952                -          input_alignment      -           9.6e-108  361.4   1.7  4.1e-101  339.5   0.2   2.2   1   1   1   2   2   2   2 -
83420                -          input_alignment      -           1.6e-107  360.7   2.6   7.7e-99  331.9   0.4   2.4   1   1   1   2   2   2   2 -
2082                 -          input_alignment      -           2.2e-107  360.2   3.0  8.9e-100  335.0   0.0   2.1   1   1   1   2   2   2   2 -
83785                -          input_alignment      -           2.9e-105  353.2  21.5   2.8e-63  214.2   0.0   4.0   3   2   2   5   5   5   4 -
1542                 -          input_alignment      -           8.7e-105  351.6  57.5   3.8e-37  127.7  11.4   4.1   1   1   3   4   4   4   4 -
17364                -          input_alignment      -           2.2e-104  350.3  16.9   1.4e-65  221.8   0.0   3.6   3   1   1   4   4   3   3 -
82601                -          input_alignment      -           4.2e-104  349.4   0.2  6.9e-103  345.3   0.2   2.0   1   1   0   1   1   1   1 -
82629                -          input_alignment      -           1.2e-103  347.9   6.8   1.7e-69  234.8   0.0   3.1   2   1   1   3   3   3   3 -
83468                -          input_alignment      -           1.5e-103  347.5   0.0     5e-84  282.9   0.0   2.5   2   1   0   2   2   2   2 -
2083                 -          input_alignment      -           1.6e-103  347.4   0.7   7.4e-99  332.0   0.0   2.1   1   1   1   2   2   2   2 -
1541                 -          input_alignment      -           9.2e-102  341.6  48.9   1.5e-37  129.0  10.2   3.9   1   1   1   3   3   3   3 -
13473                -          input_alignment      -           1.2e-101  341.3   8.5   2.4e-67  227.7   0.0   3.1   2   1   1   3   3   3   3 -
13762                -          input_alignment      -           1.5e-101  341.0   0.1  1.9e-101  340.6   0.1   1.1   1   0   0   1   1   1   1 -
7847                 -          input_alignment      -           2.5e-101  340.2   0.2  3.1e-101  339.9   0.2   1.1   1   0   0   1   1   1   1 -
12264                -          input_alignment      -           3.3e-100  336.5   0.0  3.8e-100  336.3   0.0   1.0   1   0   0   1   1   1   1 -
81298                -          input_alignment      -           6.7e-100  335.5   0.0  8.7e-100  335.1   0.0   1.1   1   0   0   1   1   1   1 -
11523                -          input_alignment      -            1.5e-99  334.3   4.3   1.8e-52  178.5   0.0   3.0   2   1   1   3   3   3   3 -
14426                -          input_alignment      -            9.2e-97  325.1   0.0     2e-96  324.0   0.0   1.4   2   0   0   2   2   1   1 -
83091                -          input_alignment      -            1.4e-96  324.4   2.2   1.1e-65  222.2   0.0   3.1   2   1   1   3   3   3   3 -
14642                -          input_alignment      -            1.4e-95  321.2   7.0   1.1e-67  228.7   0.0   3.0   2   1   1   3   3   3   3 -
83518                -          input_alignment      -            4.2e-94  316.3   2.9   2.2e-61  208.0   0.0   3.1   2   1   1   3   3   3   3 -
83449                -          input_alignment      -            3.4e-93  313.3   9.6   9.3e-69  232.4   0.1   2.1   1   1   1   2   2   2   2 -
58                   -          input_alignment      -            4.2e-93  313.0  23.4   2.5e-44  151.5   0.0   3.1   2   1   1   3   3   3   3 -
1866                 -          input_alignment      -            1.9e-92  310.8   8.7   6.3e-49  166.7   0.0   3.4   2   2   1   3   3   3   3 -
16576                -          input_alignment      -            1.9e-92  310.8   7.6   2.7e-68  230.8   0.2   2.1   1   1   1   2   2   2   2 -
80906                -          input_alignment      -            1.9e-92  310.8   4.1   2.6e-72  244.1   0.4   2.1   1   1   1   2   2   2   2 -
82732                -          input_alignment      -            1.9e-91  307.5  11.4   2.7e-34  118.3   7.3   3.1   3   0   0   3   3   3   3 -
15457                -          input_alignment      -            1.4e-90  304.6   1.8     1e-71  242.1   0.1   2.1   1   1   0   2   2   2   2 -
81712                -          input_alignment      -            6.8e-90  302.3  42.1     4e-26   91.2   3.5   4.8   1   1   4   5   5   5   5 -
80175                -          input_alignment      -              2e-89  300.8  17.4   1.2e-55  189.0   7.5   2.0   1   1   1   2   2   2   2 -
11067                -          input_alignment      -            4.3e-89  299.7  16.0   2.5e-63  214.4   0.0   2.9   2   1   0   2   2   2   2 -
17503                -          input_alignment      -            9.9e-88  295.2   9.5   3.2e-48  164.4   0.0   3.3   3   1   1   4   4   3   3 -
82026                -          input_alignment      -            2.3e-85  287.3  31.9   6.6e-47  160.0  16.2   3.1   1   1   1   2   2   2   2 -
2776                 -          input_alignment      -            2.7e-85  287.1   0.1     3e-85  286.9   0.1   1.0   1   0   0   1   1   1   1 -
2775                 -          input_alignment      -            9.6e-85  285.3   0.0   1.1e-84  285.1   0.0   1.0   1   0   0   1   1   1   1 -
83193                -          input_alignment      -            9.8e-84  281.9   0.0   1.2e-83  281.7   0.0   1.0   1   0   0   1   1   1   1 -
16412                -          input_alignment      -            1.7e-83  281.2   0.0   2.4e-83  280.7   0.0   1.1   1   0   0   1   1   1   1 -
76229                -          input_alignment      -            1.9e-83  281.0   0.0   2.1e-83  280.8   0.0   1.0   1   0   0   1   1   1   1 -
14809                -          input_alignment      -            2.4e-83  280.7  34.6   2.1e-55  188.2  15.4   3.0   1   1   2   3   3   3   3 -
16843                -          input_alignment      -            3.2e-83  280.2   0.0   2.1e-82  277.6   0.0   1.8   2   0   0   2   2   2   1 -
17652                -          input_alignment      -            3.3e-83  280.2  33.2   3.9e-45  154.2   9.1   5.0   2   1   2   4   4   4   4 -
82329                -          input_alignment      -            4.3e-83  279.8  31.4   3.6e-32  111.2   9.3   4.3   1   1   3   4   4   4   3 -
80817                -          input_alignment      -            6.7e-82  275.9  22.8   1.9e-57  194.9  10.8   3.3   2   1   1   3   3   3   2 -
82649                -          input_alignment      -            9.6e-82  275.4  29.8     3e-30  104.9  10.0   4.5   1   1   3   4   4   4   3 -
7465                 -          input_alignment      -            4.1e-81  273.3   0.2   4.5e-81  273.1   0.2   1.0   1   0   0   1   1   1   1 -
544                  -          input_alignment      -            2.6e-80  270.6  29.6     3e-54  184.3  12.3   2.1   1   1   1   2   2   2   2 -
2087                 -          input_alignment      -            7.8e-79  265.7   0.0   5.5e-78  262.9   0.0   1.9   2   0   0   2   2   2   1 -
6200                 -          input_alignment      -            9.8e-79  265.4   0.1   1.3e-78  265.0   0.1   1.0   1   0   0   1   1   1   1 -
6201                 -          input_alignment      -            9.8e-79  265.4   0.1   1.3e-78  265.0   0.1   1.0   1   0   0   1   1   1   1 -
83301                -          input_alignment      -            1.8e-78  264.5   0.0   2.4e-78  264.1   0.0   1.1   1   0   0   1   1   1   1 -
1358                 -          input_alignment      -            2.4e-78  264.1   0.1   2.8e-78  263.9   0.1   1.0   1   0   0   1   1   1   1 -
79957                -          input_alignment      -            4.1e-78  263.3   0.2   2.8e-77  260.6   0.2   2.0   1   1   0   1   1   1   1 -
1227                 -          input_alignment      -            5.5e-78  262.9  28.4     8e-43  146.5   9.1   2.4   1   1   1   2   2   2   2 -
1029                 -          input_alignment      -            1.5e-77  261.5  23.2   1.6e-47  162.1  13.8   2.4   1   1   1   2   2   2   2 -
16113                -          input_alignment      -              2e-77  261.1   0.0   2.3e-77  260.9   0.0   1.0   1   0   0   1   1   1   1 -
82916                -          input_alignment      -            5.4e-77  259.6   0.0   7.6e-77  259.1   0.0   1.1   1   0   0   1   1   1   1 -
9926                 -          input_alignment      -            8.9e-77  258.9   9.6   2.3e-45  154.9   0.0   3.7   2   1   1   3   3   3   3 -
17307                -          input_alignment      -            1.4e-76  258.2   0.0   1.9e-76  257.9   0.0   1.1   1   0   0   1   1   1   1 -
2086                 -          input_alignment      -              2e-76  257.8   0.0   2.4e-76  257.5   0.0   1.0   1   0   0   1   1   1   1 -
4018                 -          input_alignment      -            2.3e-76  257.6   4.9   1.4e-54  185.4   0.0   2.2   2   0   0   2   2   2   2 -
17907                -          input_alignment      -            2.8e-76  257.3   0.0   3.8e-76  256.8   0.0   1.1   1   0   0   1   1   1   1 -
14982                -          input_alignment      -            3.1e-76  257.1   0.0   4.4e-76  256.6   0.0   1.1   1   0   0   1   1   1   1 -
81425                -          input_alignment      -            6.3e-76  256.1   0.0   8.5e-76  255.7   0.0   1.1   1   0   0   1   1   1   1 -
16606                -          input_alignment      -            6.6e-76  256.0   0.0   9.1e-76  255.6   0.0   1.1   1   0   0   1   1   1   1 -
13656                -          input_alignment      -            8.2e-76  255.7   0.0   1.2e-75  255.2   0.0   1.1   1   0   0   1   1   1   1 -
14406                -          input_alignment      -            1.2e-75  255.2   0.1   1.5e-75  254.8   0.1   1.1   1   0   0   1   1   1   1 -
5603                 -          input_alignment      -            1.6e-75  254.8   0.0   2.3e-75  254.2   0.0   1.1   1   0   0   1   1   1   1 -
5602                 -          input_alignment      -            1.8e-75  254.6   0.0   2.7e-75  254.0   0.0   1.1   1   0   0   1   1   1   1 -
80937                -          input_alignment      -            2.8e-75  253.9   0.1   3.5e-75  253.6   0.1   1.0   1   0   0   1   1   1   1 -
543                  -          input_alignment      -            4.6e-75  253.3  27.8   3.8e-53  180.7  12.9   2.0   1   1   1   2   2   2   2 -
8769                 -          input_alignment      -            6.5e-75  252.7   0.0   8.1e-75  252.4   0.0   1.0   1   0   0   1   1   1   1 -
82225                -          input_alignment      -            1.9e-74  251.2   0.1   2.5e-74  250.8   0.1   1.1   1   0   0   1   1   1   1 -
4565                 -          input_alignment      -            3.6e-74  250.3   0.0     5e-74  249.8   0.0   1.1   1   0   0   1   1   1   1 -
80913                -          input_alignment      -            5.8e-74  249.6   0.0   6.8e-74  249.4   0.0   1.0   1   0   0   1   1   1   1 -
8768                 -          input_alignment      -            1.1e-73  248.7   0.0   1.4e-73  248.3   0.0   1.0   1   0   0   1   1   1   1 -
82794                -          input_alignment      -            1.4e-73  248.3   0.0   1.9e-73  247.9   0.0   1.1   1   0   0   1   1   1   1 -
14840                -          input_alignment      -            4.9e-73  246.5   0.0   7.1e-73  246.0   0.0   1.1   1   0   0   1   1   1   1 -
12472                -          input_alignment      -            4.9e-73  246.5   0.0     7e-73  246.0   0.0   1.1   1   0   0   1   1   1   1 -
82986                -          input_alignment      -              1e-72  245.4   0.0   1.3e-72  245.1   0.0   1.1   1   0   0   1   1   1   1 -
14193                -          input_alignment      -            1.5e-72  244.9   0.0   2.3e-72  244.3   0.0   1.1   1   0   0   1   1   1   1 -
410                  -          input_alignment      -            1.6e-72  244.9   0.0   2.2e-72  244.4   0.0   1.1   1   0   0   1   1   1   1 -
13741                -          input_alignment      -            4.6e-72  243.3   0.0   6.5e-72  242.8   0.0   1.1   1   0   0   1   1   1   1 -
16971                -          input_alignment      -            4.8e-72  243.2  17.1   9.4e-72  242.3  17.1   1.4   1   1   0   1   1   1   1 -
17588                -          input_alignment      -            8.4e-72  242.4   0.0   1.2e-71  242.0   0.0   1.1   1   0   0   1   1   1   1 -
6841                 -          input_alignment      -            1.3e-71  241.8  24.7   1.8e-47  161.9   6.4   3.0   1   1   2   3   3   3   3 -
17517                -          input_alignment      -            1.6e-71  241.5   0.0   8.3e-71  239.2   0.0   1.8   2   0   0   2   2   2   1 -
1605                 -          input_alignment      -              3e-71  240.6   0.0   3.5e-71  240.4   0.0   1.1   1   0   0   1   1   1   1 -
8770                 -          input_alignment      -            4.1e-71  240.2   0.0   5.3e-71  239.8   0.0   1.0   1   0   0   1   1   1   1 -
1604                 -          input_alignment      -            5.6e-71  239.7   0.0   6.9e-71  239.4   0.0   1.1   1   0   0   1   1   1   1 -
1231                 -          input_alignment      -            7.8e-71  239.2  29.3   1.7e-37  128.9  12.1   3.0   1   1   2   3   3   3   3 -
16920                -          input_alignment      -            1.1e-70  238.7   0.0   1.5e-70  238.3   0.0   1.0   1   0   0   1   1   1   1 -
82791                -          input_alignment      -            1.2e-70  238.6   0.0   1.7e-70  238.2   0.0   1.1   1   0   0   1   1   1   1 -
17786                -          input_alignment      -            2.1e-70  237.8   0.0   2.7e-70  237.4   0.0   1.1   1   0   0   1   1   1   1 -
408                  -          input_alignment      -            2.4e-70  237.6   0.0   3.5e-70  237.1   0.0   1.1   1   0   0   1   1   1   1 -
11477                -          input_alignment      -            3.6e-70  237.0   0.0   4.6e-70  236.7   0.0   1.0   1   0   0   1   1   1   1 -
82567                -          input_alignment      -            1.1e-69  235.5  23.6   1.9e-30  105.5   2.3   4.1   1   1   3   4   4   4   4 -
14090                -          input_alignment      -            1.7e-69  234.8   0.0   2.2e-69  234.5   0.0   1.0   1   0   0   1   1   1   1 -
1218                 -          input_alignment      -            3.2e-69  233.9   0.0   4.1e-69  233.5   0.0   1.0   1   0   0   1   1   1   1 -
11479                -          input_alignment      -            5.7e-69  233.1   0.0   7.5e-69  232.7   0.0   1.0   1   0   0   1   1   1   1 -
1219                 -          input_alignment      -              2e-68  231.3   0.0   2.6e-68  230.9   0.0   1.0   1   0   0   1   1   1   1 -
16596                -          input_alignment      -            2.4e-68  231.0   3.1     6e-33  113.8   0.0   4.1   3   1   1   4   4   4   4 -
5507                 -          input_alignment      -            3.1e-68  230.6   0.0   4.3e-68  230.2   0.0   1.1   1   0   0   1   1   1   1 -
17713                -          input_alignment      -            3.9e-68  230.3   0.0     5e-68  229.9   0.0   1.1   1   0   0   1   1   1   1 -
16488                -          input_alignment      -            7.3e-68  229.4  14.3     2e-54  184.9   8.0   3.7   2   1   0   2   2   2   2 -
17119                -          input_alignment      -            7.8e-68  229.3   0.0     1e-67  228.9   0.0   1.1   1   0   0   1   1   1   1 -
17839                -          input_alignment      -            8.6e-68  229.2  16.2   2.5e-36  125.0  16.4   2.3   2   0   0   2   2   2   2 -
17225                -          input_alignment      -              1e-67  228.9   0.0   1.3e-67  228.6   0.0   1.0   1   0   0   1   1   1   1 -
1229                 -          input_alignment      -            1.5e-67  228.3  26.5   2.7e-53  181.2  11.9   3.0   1   1   2   3   3   3   3 -
411                  -          input_alignment      -            1.7e-67  228.2   0.0   2.6e-67  227.6   0.0   1.1   1   0   0   1   1   1   1 -
14953                -          input_alignment      -            1.8e-67  228.1   0.0   2.7e-67  227.5   0.0   1.1   1   0   0   1   1   1   1 -
12709                -          input_alignment      -            1.9e-67  228.0  19.4   8.7e-40  136.5   7.2   2.0   2   0   0   2   2   2   2 -
10685                -          input_alignment      -              2e-67  227.9   9.7   3.2e-36  124.7   0.7   3.3   2   1   1   3   3   3   3 -
81698                -          input_alignment      -            2.2e-67  227.8   0.0   2.9e-67  227.4   0.0   1.1   1   0   0   1   1   1   1 -
13168                -          input_alignment      -            2.4e-67  227.7   0.0   3.5e-67  227.2   0.0   1.1   1   0   0   1   1   1   1 -
14617                -          input_alignment      -            2.7e-67  227.5  19.4   5.6e-67  226.5  19.4   1.5   1   1   0   1   1   1   1 -
17624                -          input_alignment      -            5.1e-67  226.6  11.0   8.2e-37  126.6   7.4   2.2   2   0   0   2   2   2   2 -
1230                 -          input_alignment      -            5.7e-67  226.4  23.1   3.1e-53  181.0  13.1   2.9   1   1   2   3   3   3   3 -
17086                -          input_alignment      -            5.9e-67  226.4   0.0   7.8e-67  226.0   0.0   1.1   1   0   0   1   1   1   1 -
91                   -          input_alignment      -              6e-67  226.4   6.8   5.9e-37  127.1   0.0   2.8   2   1   1   3   3   3   3 -
14417                -          input_alignment      -            6.2e-67  226.3   0.0     9e-67  225.8   0.0   1.1   1   0   0   1   1   1   1 -
16516                -          input_alignment      -              8e-67  226.0   0.0     1e-66  225.6   0.0   1.1   1   0   0   1   1   1   1 -
2084                 -          input_alignment      -            8.3e-67  225.9   0.0   1.1e-66  225.5   0.0   1.0   1   0   0   1   1   1   1 -
409                  -          input_alignment      -            1.4e-66  225.2   0.0   1.9e-66  224.7   0.0   1.0   1   0   0   1   1   1   1 -
2088                 -          input_alignment      -              2e-66  224.6   0.3   1.3e-65  222.0   0.1   1.9   2   0   0   2   2   2   1 -
4375                 -          input_alignment      -            2.6e-66  224.3   0.0   3.8e-66  223.7   0.0   1.1   1   0   0   1   1   1   1 -
16556                -          input_alignment      -            3.5e-66  223.8   0.0   4.8e-66  223.4   0.0   1.1   1   0   0   1   1   1   1 -
8093                 -          input_alignment      -            3.6e-66  223.8  25.5   2.7e-31  108.3   9.8   2.7   2   1   1   3   3   3   3 -
9853                 -          input_alignment      -            4.1e-66  223.6   0.0   5.4e-66  223.2   0.0   1.1   1   0   0   1   1   1   1 -
17510                -          input_alignment      -            4.7e-66  223.4   0.0   6.7e-66  222.9   0.0   1.1   1   0   0   1   1   1   1 -
4376                 -          input_alignment      -            6.8e-66  222.9   0.0   9.3e-66  222.4   0.0   1.1   1   0   0   1   1   1   1 -
15114                -          input_alignment      -            7.1e-66  222.8   0.0   9.2e-66  222.4   0.0   1.0   1   0   0   1   1   1   1 -
13930                -          input_alignment      -            2.3e-65  221.1   0.0   3.2e-65  220.7   0.0   1.1   1   0   0   1   1   1   1 -
78507                -          input_alignment      -            2.7e-65  220.9  15.0   3.2e-65  220.7  15.0   1.0   1   0   0   1   1   1   1 -
9196                 -          input_alignment      -            3.7e-65  220.4   0.0   4.9e-65  220.1   0.0   1.0   1   0   0   1   1   1   1 -
13013                -          input_alignment      -            5.3e-65  219.9   0.0   7.8e-65  219.4   0.0   1.2   1   0   0   1   1   1   1 -
13014                -          input_alignment      -            5.6e-65  219.8   0.0   8.3e-65  219.3   0.0   1.2   1   0   0   1   1   1   1 -
82690                -          input_alignment      -            5.9e-65  219.8   0.0   7.7e-65  219.4   0.0   1.0   1   0   0   1   1   1   1 -
2527                 -          input_alignment      -            7.9e-65  219.4   0.0     1e-64  219.0   0.0   1.1   1   0   0   1   1   1   1 -
1002                 -          input_alignment      -            9.2e-65  219.1   0.0   1.2e-64  218.8   0.0   1.1   1   0   0   1   1   1   1 -
1001                 -          input_alignment      -            9.3e-65  219.1   0.0   1.2e-64  218.7   0.0   1.1   1   0   0   1   1   1   1 -
79116                -          input_alignment      -            1.3e-64  218.6  17.8   6.8e-49  166.6   6.3   2.4   1   1   1   2   2   2   2 -
412                  -          input_alignment      -            1.5e-64  218.4   0.0   1.8e-64  218.1   0.0   1.0   1   0   0   1   1   1   1 -
10427                -          input_alignment      -            2.9e-64  217.5   0.0   3.2e-64  217.3   0.0   1.1   1   0   0   1   1   1   1 -
16060                -          input_alignment      -            3.8e-64  217.1  17.8   4.8e-47  160.5   9.7   2.2   1   1   1   2   2   2   2 -
15142                -          input_alignment      -            4.6e-64  216.8   0.0   6.9e-64  216.3   0.0   1.1   1   0   0   1   1   1   1 -
13066                -          input_alignment      -            5.9e-64  216.5   0.0   7.6e-64  216.1   0.0   1.1   1   0   0   1   1   1   1 -
15019                -          input_alignment      -            6.5e-64  216.3   0.0   8.5e-64  215.9   0.0   1.1   1   0   0   1   1   1   1 -
9195                 -          input_alignment      -            6.9e-64  216.3   0.0   8.1e-64  216.0   0.0   1.0   1   0   0   1   1   1   1 -
7326                 -          input_alignment      -            7.2e-64  216.2   0.3   6.4e-63  213.0   0.3   1.9   1   1   0   1   1   1   1 -
10701                -          input_alignment      -            8.8e-64  215.9   0.0   1.1e-63  215.6   0.0   1.1   1   0   0   1   1   1   1 -
691                  -          input_alignment      -            1.3e-63  215.3   0.0   1.7e-47  161.9   0.0   2.1   1   1   1   2   2   2   2 -
13088                -          input_alignment      -            1.5e-63  215.1   0.1   1.8e-63  214.9   0.1   1.0   1   0   0   1   1   1   1 -
2983                 -          input_alignment      -            1.6e-63  215.1   0.0   1.8e-63  214.9   0.0   1.1   1   0   0   1   1   1   1 -
4377                 -          input_alignment      -            2.5e-63  214.4   0.0   3.3e-63  214.0   0.0   1.1   1   0   0   1   1   1   1 -
72953                -          input_alignment      -            2.6e-63  214.4   0.4   2.8e-63  214.2   0.4   1.0   1   0   0   1   1   1   1 -
4055                 -          input_alignment      -            2.6e-63  214.3   0.0   3.2e-63  214.0   0.0   1.0   1   0   0   1   1   1   1 -
